Element,Z,Vl,Pc,Pc18,Pr,Uo,Eg,Ip1,Ip2,Ea,Homo,Lumo,Ros,Rop,Rod,Ra,Rv,Rc,Plz,M,Mel,Boi,de,Zeff,Fus,Vap,Cap
H,1,1,1,1,1,1,2.2,1312,,-1.5273,-6.4925,0.725,0.3865,0,0,0.37,0.3865,0.31,4.507107424,1,13.99,20.271,0.0000899,1,0.0586,0.449,14.304
He,2,2,8,18,1,0,3.89,2372.3,5250.5,3.0204,-15.761,1.5714,0.2964,1.0292,0.4176,0.32,0.2964,0.28,1.383746,4.002602,0.95,4.222,0.0001786,1.34,,0.0829,5.193
Li,3,1,1,1,2,1,0.98,520.2,7298.1,-0.5863,-2.8744,-0.9074,1.6578,1.8874,2.0869,1.34,1.6578,1.28,164,6.941,453.69,1615,0.534,1.26,3,134.68,3.582
Be,4,2,2,2,2,0,1.57,899.5,1757.1,0.7972,-5.6097,-2.0104,1.0805,1.2128,1.9594,0.9,1.0805,0.96,37.71,9.0121831,1560,2742,1.85,1.66,11.72,294.66,1.825
B,5,3,3,13,2,5,2.04,800.6,2427.1,0.0312,-3.6067,2.4547,0.8025,0.8348,1.3619,0.82,0.8348,0.84,20.53,10.811,2349,4200,2.08,1.56,22.18,480,1.026
C,6,4,4,14,2,4,2.55,1086.5,2352.6,-0.7107,-5.2854,3.7464,0.6418,0.6367,1.1355,0.77,0.6367,0.76,11.26,12.011,3773.15,5100.15,1.8,1.82,104.6,716.72,0.709
N,7,5,5,15,2,3,3.04,1402.3,2856,-1.6769,-7.0898,4.1526,0.5361,0.5154,1.214,0.75,0.5154,0.71,7.6,14.007,63.15,77.36,0.001251,2.07,0.3605,2.79,1.04
O,8,6,6,16,2,2,3.44,1313.9,3388.3,-2.8171,-9.0305,4.2084,0.4608,0.4333,1.075,0.73,0.4333,0.66,5.24,15.999,54.36,90.188,0.001429,2,0.2224,3.41,0.918
F,9,7,7,17,2,1,3.98,1681,3374,-4.0848,-11.114,1.7177,0.4044,0.374,1.0655,0.71,0.374,0.57,3.7,18.9984032,53.53,85.03,0.001696,2.26,0.255,3.31,0.824
Ne,10,8,8,18,2,0,3.67,2080.7,3952.3,5.0478,-13.333,2.7416,0.3604,0.3292,1.9061,0.69,0.3292,0.58,2.67,20.1797,24.56,27.07,0.0009002,2.52,0.3347,1.71,1.03
Na,11,1,1,1,3,1,0.93,495.8,4562,-0.6355,-0.2186,0.9747,1.7586,2.2172,8.6288,1.54,1.7586,1.66,162.7,22.98976928,370.87,1156,0.968,1.84,2.594,89.04,1.228
Mg,12,2,2,2,3,0,1.31,737.7,1450.7,1.5388,-4.7054,-1.0945,1.3518,1.6131,1.9324,1.3,1.3518,1.41,70.89,24.305,923,1363,1.738,2.25,8.954,128.66,1.023
Al,13,3,3,13,3,5,1.61,577.5,1816.7,0.0364,-2.712,3.1169,1.1043,1.3965,1.7101,1.18,1.3965,1.21,55.4,26.981,933.47,2792,2.7,1.99,10.669,293.72,0.897
Si,14,4,4,14,3,4,1.9,786.5,1577.1,-0.8063,-4.0809,3.7444,0.9466,1.1405,1.1619,1.11,1.1405,1.11,37.31,28.085,1687,3538,2.329,2.32,46.44,439,0.705
P,15,5,5,15,3,3,2.19,1011.8,1907,-1.5964,-5.5066,4.1941,0.8336,0.9712,1.4172,1.06,0.9712,1.07,24.93,30.973762,863.15,553.15,1.823,2.63,0.628,12.43,0.769
S,16,6,6,16,3,2,2.58,999.6,2252,-2.5989,-7.0084,4.6395,0.7473,0.8493,1.3934,1.02,0.8493,1.05,19.37,32.066,388.36,717.8,2.07,2.62,1.72,9.62,0.71
Cl,17,7,7,17,3,1,3.16,1251.2,2298,-3.6864,-8.5947,4.9242,0.6785,0.7567,1.3489,0.99,0.7567,1.02,14.57,35.45,171.6,239.11,0.0032,2.93,3.38,10.21,0.479
Ar,18,8,8,18,3,0,3.3,1520.6,2665.8,6.5281,-10.269,4.0435,0.6222,0.6835,0.7738,0.97,0.6835,1.06,11.07,39.948,83.8,87.3,0.001784,3.23,1.176,6.43,0.52
